Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M8	VC	0	26
2	0	0	M8	VC	0	26
3	0	0	M8	VC	0	26
4	0	4.68138913287515	M8	VC	0	26
5	0	31.2812736980745	M8	VC	0	26
6	0	50.3752297487336	M8	VC	0	26
7	0.426286305652266	110.706937509824	M8	VC	0	26
8	18.6924427168116	162.848704154429	M8	VC	0	26
9	45.7922179916284	214.15483461827	M8	VC	0	26
10	109.1847050463	290.090494854811	M8	VC	0	26
11	180.516376053312	369.357175917094	M8	VC	0	26
12	255.049412717046	448.177946154684	M8	VC	0	26
13	334.674209822357	532.421269834707	M8	VC	0	26
14	413.833354835745	612.409089438742	M8	VC	0	26
15	495.311954102226	694.81989220247	M8	VC	0	26
16	584.133487268948	785.760005738848	M8	VC	0	26
17	671.593519849952	874.292330045564	M8	VC	0	26
18	756.982619154686	960.24739051165	M8	VC	0	26
19	840.181961105723	1043.63721878412	M8	VC	0	26
20	924.647827385662	1129.06582143049	M8	VC	0	26
21	1008.23968386004	1213.27288147771	M8	VC	0	26
22	1087.40162116137	1292.76355264952	M8	VC	0	26
23	1163.31979574617	1368.93768594167	M8	VC	0	26
24	1237.37399553301	1442.97446489634	M8	VC	0	26
25	1310.79438540628	1516.33588655205	M8	VC	0	26
26	1383.71731043591	1589.8433000879	M8	VC	0	26
27	1455.71837237743	1662.37118835134	M8	VC	0	26
28	1522.25984735149	1729.57687910585	M8	VC	0	26
29	1591.66882466684	1799.09343747332	M8	VC	0	26
30	1655.34539616522	1863.33672549631	M8	VC	0	26
31	1720.26053030607	1928.28229276427	M8	VC	0	26
32	1777.61048290676	1986.15298904834	M8	VC	0	26
33	1837.07903445379	2045.61260889476	M8	VC	0	26
34	1892.57302641321	2101.39422267855	M8	VC	0	26
35	1947.04008415727	2156.12698635091	M8	VC	0	26
35	0	0	M8	VC	0	26
