Edad	Altura.dominante	thinning	varname	zone	cal
1	0.330461906307924	MG2	Hdom	0	16
2	0.910732755009403	MG2	Hdom	0	16
3	1.6298571646919	MG2	Hdom	0	16
4	2.44080427246155	MG2	Hdom	0	16
5	3.3129297651295	MG2	Hdom	0	16
6	4.22393465771887	MG2	Hdom	0	16
7	5.15686751265415	MG2	Hdom	0	16
8	6.0986189783072	MG2	Hdom	0	16
9	7.03901101833824	MG2	Hdom	0	16
10	7.9701735963598	MG2	Hdom	0	16
11	8.88608294903739	MG2	Hdom	0	16
12	9.78220262557685	MG2	Hdom	0	16
13	10.6551964909912	MG2	Hdom	0	16
14	11.5026957260377	MG2	Hdom	0	16
15	12.3231082239296	MG2	Hdom	0	16
16	13.1154622064671	MG2	Hdom	0	16
17	13.879277890144	MG2	Hdom	0	16
17	13.879277890144	MG2	Hdom	0	16
18	14.614462325165	MG2	Hdom	0	16
19	15.3212234386866	MG2	Hdom	0	16
20	16	MG2	Hdom	0	16
21	16.6514047714325	MG2	Hdom	0	16
22	17.2761785572968	MG2	Hdom	0	16
23	17.8751532381753	MG2	Hdom	0	16
24	18.4492221937675	MG2	Hdom	0	16
25	18.9993167843422	MG2	Hdom	0	16
25	18.9993167843422	MG2	Hdom	0	16
26	19.5263877859681	MG2	Hdom	0	16
27	20.0313908641876	MG2	Hdom	0	16
28	20.5152753297803	MG2	Hdom	0	16
29	20.9789755532098	MG2	Hdom	0	16
30	21.4234045251549	MG2	Hdom	0	16
31	21.8494491425986	MG2	Hdom	0	16
32	22.2579668762441	MG2	Hdom	0	16
33	22.6497835380896	MG2	Hdom	0	16
34	23.0256919199973	MG2	Hdom	0	16
35	23.3864511168972	MG2	Hdom	0	16
35	0	MG2	Hdom	0	16
