Edad	Dm	thinning	varname	zone	cal
1	0.401850628650897	M2	Dm	1	26
2	3.60318794513961	M2	Dm	1	26
3	7.82846957152269	M2	Dm	1	26
4	11.7010939247406	M2	Dm	1	26
5	14.9836082969141	M2	Dm	1	26
6	17.7258366677077	M2	Dm	1	26
7	20.0244991380262	M2	Dm	1	26
8	21.9682598173853	M2	Dm	1	26
9	23.6284425231603	M2	Dm	1	26
10	25.0604460084778	M2	Dm	1	26
11	26.3070386923606	M2	Dm	1	26
12	27.4013903471926	M2	Dm	1	26
13	28.369451626586	M2	Dm	1	26
14	29.2317323782212	M2	Dm	1	26
14	30.9939760105694	M2	Dm	1	26
15	31.8939745566447	M2	Dm	1	26
16	32.7075030718705	M2	Dm	1	26
17	33.4464640922583	M2	Dm	1	26
18	34.1206977692551	M2	Dm	1	26
19	34.7384021195847	M2	Dm	1	26
20	35.3064568176327	M2	Dm	1	26
21	35.8306746807471	M2	Dm	1	26
22	36.3159985875196	M2	Dm	1	26
22	39.500575792095	M2	Dm	1	26
23	40.095675497732	M2	Dm	1	26
24	40.6513744059696	M2	Dm	1	26
25	41.1715095223596	M2	Dm	1	26
26	41.6594359440004	M2	Dm	1	26
27	42.1180996170233	M2	Dm	1	26
28	42.5500974569899	M2	Dm	1	26
29	42.9577272812618	M2	Dm	1	26
30	43.3430294850687	M2	Dm	1	26
30	50.6411351627649	M2	Dm	1	26
31	51.325378433284	M2	Dm	1	26
32	51.9775023254145	M2	Dm	1	26
33	52.5997349424862	M2	Dm	1	26
34	53.1941043600403	M2	Dm	1	26
35	53.7624602043274	M2	Dm	1	26
36	54.3064925717989	M2	Dm	1	26
37	54.8277486484803	M2	Dm	1	26
38	55.3276473373857	M2	Dm	1	26
39	55.8074921584113	M2	Dm	1	26
40	56.2684826476379	M2	Dm	1	26
40	0	M2	Dm	1	26
