Edad	Dq	thinning	varname	zone	cal
1	0.000223706191110429	M8	Dq	0	11
2	0.061663617060433	M8	Dq	0	11
3	0.451552756415796	M8	Dq	0	11
4	1.26938970459697	M8	Dq	0	11
5	2.40117058430328	M8	Dq	0	11
6	3.70702389876494	M8	Dq	0	11
7	5.0837647088079	M8	Dq	0	11
8	6.46617100404325	M8	Dq	0	11
9	7.81612538595453	M8	Dq	0	11
10	9.11287089344344	M8	Dq	0	11
11	10.3462884174152	M8	Dq	0	11
12	11.5126176263366	M8	Dq	0	11
13	12.6118130672407	M8	Dq	0	11
14	13.6459295664585	M8	Dq	0	11
15	14.61814195259	M8	Dq	0	11
16	15.5321534722491	M8	Dq	0	11
17	16.3918424822248	M8	Dq	0	11
18	17.2010555161414	M8	Dq	0	11
19	17.9634903845259	M8	Dq	0	11
20	18.6826345773753	M8	Dq	0	11
21	19.3617374369224	M8	Dq	0	11
22	20.0038026874987	M8	Dq	0	11
23	20.6115929428632	M8	Dq	0	11
24	21.1876409550822	M8	Dq	0	11
25	21.734264345251	M8	Dq	0	11
26	22.2535818049322	M8	Dq	0	11
27	22.7475295485699	M8	Dq	0	11
28	23.2178772991358	M8	Dq	0	11
29	23.6662434069543	M8	Dq	0	11
30	24.0941089014017	M8	Dq	0	11
31	24.5028303992014	M8	Dq	0	11
32	24.8936518684168	M8	Dq	0	11
33	25.2677152913893	M8	Dq	0	11
34	25.6260702940813	M8	Dq	0	11
35	25.9696828208736	M8	Dq	0	11
35	0	M8	Dq	0	11
