Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	0.000874975938108685	M8	AB	1	21
2	0.258225392195879	M8	AB	1	21
3	1.93724640091364	M8	AB	1	21
4	5.51474705827011	M8	AB	1	21
5	10.512772838312	M8	AB	1	21
6	16.3159096807345	M8	AB	1	21
7	22.4614574107989	M8	AB	1	21
8	28.6529243783868	M8	AB	1	21
9	34.7147324477124	M8	AB	1	21
10	40.5496891453642	M8	AB	1	21
11	46.1091111157909	M8	AB	1	21
12	51.3735896146997	M8	AB	1	21
13	56.3410016966716	M8	AB	1	21
14	61.0191323022303	M8	AB	1	21
15	65.4211612083306	M8	AB	1	21
16	69.5629175717141	M8	AB	1	21
17	73.4612248628022	M8	AB	1	21
18	77.1329197697065	M8	AB	1	21
19	80.5942883340703	M8	AB	1	21
20	83.8607602138454	M8	AB	1	21
21	86.9467619150046	M8	AB	1	21
22	89.8656668890751	M8	AB	1	21
23	92.6298034710663	M8	AB	1	21
24	95.2504961114025	M8	AB	1	21
25	97.7381244997987	M8	AB	1	21
26	100.102190985118	M8	AB	1	21
27	102.35139039539	M8	AB	1	21
28	104.493678723827	M8	AB	1	21
29	106.53633865223	M8	AB	1	21
30	108.486040838297	M8	AB	1	21
31	110.348900493363	M8	AB	1	21
32	112.13052914749	M8	AB	1	21
33	113.836081720927	M8	AB	1	21
34	115.470299147548	M8	AB	1	21
35	117.037546861332	M8	AB	1	21
35	0	M8	AB	1	21
