Edad	Altura.dominante	thinning	varname	zone	cal
1	0.561035919595055	M4	Hdom	1	21
2	1.52955553284348	M4	Hdom	1	21
3	2.70131331732137	M4	Hdom	1	21
4	3.98625830885311	M4	Hdom	1	21
5	5.32688006987733	M4	Hdom	1	21
6	6.68367276728143	M4	Hdom	1	21
7	8.02911177767066	M4	Hdom	1	21
8	9.34422706992466	M4	Hdom	1	21
9	10.6163148551866	M4	Hdom	1	21
10	11.8372882855985	M4	Hdom	1	21
11	13.0024490319368	M4	Hdom	1	21
12	14.1095616151657	M4	Hdom	1	21
13	15.1581548324009	M4	Hdom	1	21
14	16.1489963740996	M4	Hdom	1	21
15	17.0837000673619	M4	Hdom	1	21
15	17.0837000673619	M4	Hdom	1	21
16	17.9644345122264	M4	Hdom	1	21
17	18.7937089093366	M4	Hdom	1	21
18	19.5742173482828	M4	Hdom	1	21
19	20.3087271218403	M4	Hdom	1	21
20	21	M4	Hdom	1	21
21	21.6507380249425	M4	Hdom	1	21
22	22.2635474238045	M4	Hdom	1	21
23	22.8409158034623	M4	Hdom	1	21
24	23.3851989915288	M4	Hdom	1	21
25	23.8986148019266	M4	Hdom	1	21
25	0	M4	Hdom	1	21
