Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	M4	VC	1	16
2	0	0	M4	VC	1	16
3	0	0	M4	VC	1	16
4	0	0	M4	VC	1	16
5	0	3.34708745574524	M4	VC	1	16
6	0	4.44518707772158	M4	VC	1	16
7	0	20.80516471115	M4	VC	1	16
8	0	30.1126403411799	M4	VC	1	16
9	0	46.528614479603	M4	VC	1	16
10	0.109291072148706	75.2916985423173	M4	VC	1	16
11	2.33479848663079	95.7092354175279	M4	VC	1	16
12	8.83889993440674	122.161387208826	M4	VC	1	16
13	18.2942488424683	149.983110116817	M4	VC	1	16
14	31.6308184449058	174.687958817559	M4	VC	1	16
15	50.1391773915277	201.201537868739	M4	VC	1	16
15	49.3444890310809	144.877982076436	M4	VC	1	16
16	82.1438863430602	169.625447157994	M4	VC	1	16
17	105.075634969885	193.399760455027	M4	VC	1	16
18	130.26442342262	219.638502128934	M4	VC	1	16
19	155.508870004428	245.572099313861	M4	VC	1	16
20	180.940226511139	270.951469609172	M4	VC	1	16
21	206.44802291391	295.797448832949	M4	VC	1	16
22	231.276422874739	319.791419302024	M4	VC	1	16
23	258.045536731111	346.735949440812	M4	VC	1	16
24	286.223566259888	374.756850807105	M4	VC	1	16
25	313.565533892974	402.00416623537	M4	VC	1	16
25	0	0	M4	VC	1	16
